Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Albania,169,293,168,105,127,74,142,66,92,140,171,170,178,161,175,181,180,190,180,175,164,178,169,153,187,192,295,228,,4703
Algeria,571,392,357,360,422,424,420,700,820,850,900,1050,520,500,588,475,480,492,498,126,96,66,227,193,193,193,193,193,,12299
Argentina,16443,12681,13500,12673,15888,12537,15835,12695,13225,15464,15222,15396,15046,14676,12135,16250,15473,11778,14984,15197,13362,9447,11821,14522,13019,10796,12482,11451,8813,392811
Armenia,104,78,49,24,56,42,70,46,27,68,73,44,42,38,47,59,62,58,64,68,66,75,97,96,123,110,137,126,141,2090
Australia,5028,6734,6174,7415,8511,8064,10731,12168,10835,14679,14301,14263,9620,12448,11784,11420,11180,12259,12310,11863,11912,13100,13690,12740,11970,10900,14820,13070,9640,323629
Austria,2229,2110,1802,2703,2803,2338,2531,2599,2526,2735,2264,2256,2628,2993,2352,1737,2814,2125,2392,1999,2268,1953,2486,2753,2465,2398,2460,2527,2362,69608
Azerbaijan,71,29,347,147,47,77,76,57,38,31,44,52,64,82,72,117,76,106,84,100,104,105,113,157,88,90,101,117,,2592
Belarus,102,187,200,190,70,97,99,75,117,160,165,124,200,257,210,251,268,272,282,300,287,274,310,320,340,304,304,304,,6069
Belgium,1,1,1,1,2,2,2,2,2,2,1,2,2,6,6,5,5,3,6,7,10,8,9,20,15,18,13,30,34,216
Bolivia,20,20,20,20,20,20,20,20,44,71,72,73,74,77,70,74,74,80,83,55,83,83,84,67,84,84,84,84,,1660
Bosnia and Herzegovina,34,47,9,69,58,48,55,75,91,60,50,27,46,46,37,45,34,31,42,75,54,46,55,60,60,69,69,69,,1461
Brazil,3128,2320,2743,2782,3116,3638,2968,3212,2620,3925,3199,2372,3502,3683,2720,2459,3460,2967,2710,2810,2699,1257,3553,3084,2176,2257,2928,3200,3587,85075
Bulgaria,2641,3534,3371,2129,1715,3305,2260,1982,2314,1949,1708,1757,1796,1617,1246,1030,1098,1337,1755,833,1367,1245,1157,1084,918,850,893,794,850,48535
Canada,355,333,344,396,512,428,445,469,359,522,291,527,502,543,454,507,614,620,697,582,598,638,704,703,697,656,656,656,,14808
Chile,3164,3824,4549,5475,4807,6674,5452,5623,6682,6301,7885,8448,8227,8683,10093,8844,10464,12554,12821,9896,12866,10143,9492,12898,11939,10337,13437,12443,11030,255051
"China, mainland",7000,7500,9000,10645,10261,10500,10800,11200,11600,11700,11800,11900,12500,12600,12800,13000,13426,16065,13693,13496,13345,13217,11636,9269,7824,6587,5908,4727,3167,307166
Croatia,1785,1958,2260,2277,2094,1891,1951,2095,1768,1204,1248,1237,1365,1276,1424,1433,1409,1293,1248,842,992,760,726,952,704,800,765,726,426,38909
Cuba,,,,,148,156,141,108,110,99,95,94,102,106,104,108,114,124,116,125,115,117,120,114,106,144,131,131,,2828
Cyprus,555,559,534,710,555,570,503,240,385,404,197,183,169,147,145,114,85,112,94,86,91,69,99,109,100,89,68,108,97,7177
Czech Republic,459,516,405,560,563,525,518,495,510,540,436,432,820,840,570,564,650,470,501,536,819,631,645,691,492,603,592,586,477,16446
Denmark,,,,,,,,,,,,,,,,,,,,,11,1,1,1,1,1,1,1,,18
Egypt,26,26,27,27,27,30,42,40,56,68,64,68,105,143,118,44,43,45,45,50,59,58,60,57,54,53,53,53,,1541
Estonia,14,22,22,31,24,33,30,20,20,20,20,10,10,10,10,28,64,96,107,111,115,110,110,110,110,110,110,110,,1587
Ethiopia,10,10,10,15,18,23,25,26,26,28,32,26,30,14,16,9,9,9,9,9,8,8,8,8,8,8,8,8,,418
France,54354,57047,53561,52671,60535,57541,53389,50353,46360,57386,52105,52127,45672,42654,46269,44381,50757,41548,42134,46534,47775,45367,36605,49186,42193,46673,37643,45998,48029,1406847
Georgia,2050,2025,1800,1250,1300,1138,1326,1136,800,950,1300,950,1475,1105,1043,1034,1108,830,997,920,1196,884,1002,1890,2067,2124,1891,1922,1865,39378
Germany,8510,8642,8495,10834,12123,9852,8891,9885,8191,10007,9153,8916,10261,9991,9228,6906,9132,9012,8409,9202,8819,9013,7462,10268,8218,8405,8448,8940,8596,263809
Global,250874,269627,262367,259544,279578,276946,263316,255318,261926,295452,276317,282817,268074,269133,269254,261800,267733,260642,292217,270453,277100,270545,248300,294641,257764,262059,260488,262107,237340,7763732
Greece,3841,4109,3987,3826,3680,3558,3477,3085,3799,4248,4027,3938,3511,3869,3366,2950,2750,3115,3343,2800,2501,2490,2550,2235,2387,2221,2416,2084,1367,91530
Hungary,3289,4188,4472,4334,3339,4299,5406,3333,3880,5272,2900,3100,3222,3460,3065,1646,2508,1765,2573,2427,2780,2821,2548,3645,2394,2586,2588,2484,2432,92756
India,,,,,,,,,,47,58,86,112,117,149,160,142,146,170,173,183,194,204,210,180,180,180,180,,2871
Israel,122,90,90,90,80,75,50,57,234,240,240,234,218,228,230,245,259,280,300,320,341,361,381,402,422,496,385,430,,6900
Italy,55702,58772,50894,54188,56454,51620,49865,42507,41807,49935,50566,52036,45981,46970,47314,48525,42772,45616,54029,44229,49996,50920,42500,54783,47533,49066,50232,49843,38291,1422946
Japan,652,675,934,1159,1003,974,1105,1110,938,938,955,900,630,660,730,750,790,800,800,850,759,806,786,798,861,805,495,749,742,24154
Kazakhstan,122,114,111,169,227,273,129,236,217,181,247,196,112,133,172,172,158,155,209,220,242,299,327,501,445,438,233,233,,6271
Kyrgyzstan,26,23,21,20,21,22,40,44,18,17,12,18,11,13,14,16,14,13,18,17,26,24,28,56,38,14,14,14,,612
Latvia,47,35,15,10,,,,,,,75,53,26,25,18,25,22,22,22,24,21,25,32,27,20,20,20,20,,604
Lebanon,300,158,248,186,180,170,160,150,150,150,150,130,110,90,70,65,80,90,95,91,109,100,100,100,100,100,100,100,,3632
Lithuania,11,30,22,45,65,40,43,47,36,52,78,72,89,83,54,72,61,65,57,60,44,48,41,47,41,32,32,32,,1399
Luxemburg,150,128,75,160,184,132,135,154,123,156,135,124,142,130,135,110,132,85,101,125,111,83,81,136,76,97,100,88,81,3469
Madagascar,88,88,89,90,91,89,89,89,64,64,65,67,74,75,83,83,82,84,84,75,77,78,78,78,78,78,78,78,,2236
Malta,32,32,32,21,35,50,67,62,100,70,60,65,48,32,37,15,15,22,21,21,20,15,15,17,13,12,11,13,12,965
Mexico,1466,1332,1524,1361,1443,1041,1411,1012,1096,730,415,568,630,557,353,346,385,394,418,397,425,404,387,406,406,398,396,404,401,20506
Moldova,2964,2291,3123,1511,1332,1112,1604,2251,3215,3026,2520,1938,1510,1710,1590,840,1520,1470,2570,1630,1560,1495,1801,1900,1460,920,1430,1400,1778,53471
Montenegro,,,,,,,,,,,,166,130,170,171,180,118,174,160,97,113,101,110,88,102,70,70,70,,2090
Morocco,173,284,376,298,493,299,286,342,343,326,375,419,370,350,295,337,340,345,370,327,386,325,344,408,474,409,409,409,,9912
Netherlands,,,,,,,,,,,,,,,,1,1,1,8,7,8,8,6,6,8,8,8,10,13,93
New Zealand,564,573,458,606,602,601,533,890,550,1192,1020,1332,1476,2052,2050,1900,2350,1940,2484,3204,2347,3139,2851,3017,2974,3290,2664,3830,3607,54096
Panama,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,,35
Paraguay,77,80,80,80,74,56,60,60,60,60,16,25,16,14,14,13,14,14,14,15,15,16,16,19,18,17,17,17,,977
Peru,106,111,120,120,127,330,373,408,458,480,590,600,610,620,515,520,630,650,700,730,747,750,765,820,820,810,810,810,,15130
Poland,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,50
Portugal,7255,9712,6124,3750,7844,6710,7789,6677,7340,7481,7266,7542,6073,5689,5894,7148,5622,6327,6231,6206,7048,6010,6737,6060,6527,6418,7359,6848,7521,195208
Republic of North Macedonia,911,1010,958,1227,912,961,830,447,930,1058,836,615,1075,924,955,772,665,781,1024,790,1096,1053,657,1026,906,936,936,936,,25227
Republic of Türkiye,318,363,336,345,264,248,268,262,225,309,287,253,244,393,476,601,571,546,604,604,617,496,644,754,725,622,622,622,,12619
Romania,6720,7663,6688,5002,6054,5456,5090,5461,5555,6166,2602,5014,5289,5159,6703,3287,4058,3311,5113,3750,3628,3267,4317,5088,3808,3829,4451,3788,4590,140907
Russia,2150,2550,2230,2169,2560,3050,3430,4060,4530,5120,4590,6280,7280,7110,3911,6756,6242,5724,5065,4712,5603,5173,4481,4293,4620,4433,4293,4996,4498,131909
Serbia,,,,,,,,,,,,1292,1670,1929,2392,1200,1949,1581,1200,734,758,648,736,711,617,558,544,544,544,19607
Slovakia,662,376,586,490,497,489,480,332,431,364,292,400,340,415,330,190,343,310,318,258,340,309,298,381,319,353,346,332,254,10835
Slovenia,781,539,580,484,367,412,645,540,671,506,634,527,664,555,592,570,638,484,526,494,617,739,630,889,758,743,581,546,578,17290
South Africa,8339,8451,8115,7703,7968,6949,6471,7189,8853,9279,8406,9398,9783,10165,9986,9327,9725,10569,10982,11460,11231,10531,10820,9503,9705,10385,10826,10337,9306,271762
Spain,20876,31000,33218,31175,33723,41692,30500,33478,41843,42988,36158,38273,36408,35913,36093,35353,33397,31123,45308,39494,37703,39970,32480,44933,33676,40949,35304,35781,28326,1037135
Switzerland,1181,1304,1045,1172,1312,1276,1173,1112,967,1159,1001,1011,1039,1072,1112,1030,1119,1004,839,934,850,1077,792,1112,979,834,609,992,1010,30117
Syrian Arab Republic,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,1,1,1,1,,1,1,1,,,,,,,44
Tajikistan,95,131,82,65,52,39,56,60,20,62,50,40,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,,785
Tunisia,292,221,372,352,468,397,310,264,235,358,286,347,216,291,245,222,230,284,328,320,325,305,305,320,370,350,350,350,,8713
Turkmenistan,492,150,360,360,354,360,396,402,408,420,432,438,444,390,402,377,378,377,377,379,383,382,385,387,495,498,498,498,,11222
Ukraine,1860,1720,1550,1260,1250,1290,1780,2430,2380,2012,2130,2160,2516,2651,3181,3002,3170,2400,2827,1229,920,1242,1039,1010,990,660,660,660,,49979
United Kingdom,18,26,6,12,13,14,15,10,15,17,17,20,22,19,22,28,23,8,33,47,40,38,40,98,79,65,67,91,,903
United States of America,18668,18877,22000,20504,19050,21500,19200,20300,19500,20109,22888,19440,19870,19340,21965,20887,20097,22732,25584,24253,22818,24901,24506,26074,25562,22750,24070,22385,24288,634118
Uruguay,852,963,1028,1050,1050,904,873,714,840,1126,876,939,884,796,620,769,901,962,667,670,658,755,763,745,604,695,749,756,503,23712
Uzbekistan,830,550,650,620,590,410,435,336,458,350,241,231,250,245,211,213,361,375,358,253,345,272,256,229,216,218,218,218,,9939
Zimbabwe,15,15,16,16,16,16,16,16,16,16,21,24,18,18,18,18,18,18,18,20,23,21,22,20,14,14,14,14,,491
Grand Total,501748,539254,524735,519087,559158,553891,526632,510636,523853,590903,552633,565635,536148,538267,538509,523601,535466,521284,584435,540905,554203,541098,496609,589486,515743,524295,520171,524709,466596,15519690